command,description,privilege_level
go install ./...,compiles and installs all Go binaries to GOPATH bin,1
go mod tidy,removes unused dependencies and adds missing ones,1
go mod download,downloads all modules in go.sum to local cache,1
go mod vendor,copies all dependencies into local vendor directory,1
go get github.com/gin-gonic/gin,downloads and adds a package as a Go module dependency,1
go work sync,synchronizes go.work workspace module graph,1
go generate ./...,runs code generation directives in Go source files,1
go get -u ./...,updates all Go dependencies to latest minor versions,2
go clean -modcache,deletes the entire Go module download cache,2
make test,runs the test target from Makefile,0
make all,builds all targets defined in Makefile,1
make clean,removes compiled artifacts and build files,1
make install,executes install target from Makefile copying binaries,1
make uninstall,reverses install target removing installed files,2
helm list,lists all deployed Helm releases,0
helm show values myrepo/nginx,shows default values.yaml for a Helm chart,0
helm get values myapp,shows values used in an existing Helm release,0
helm history myapp,lists all revision history for a deployed Helm release,0
helm diff upgrade myapp ./chart,previews diff between current and proposed chart changes,0
helm lint ./chart,checks Helm chart for errors and best practices,0
helm template ./chart,renders chart templates locally for inspection,0
helm repo add stable https://charts.helm.sh/stable,adds a Helm chart repository to local config,1
helm repo update,refreshes all Helm chart repository indexes,1
helm repo remove deprecated-charts,removes a Helm chart repository from local config,1
helm dependency update ./chart,downloads chart dependencies from Chart.yaml,1
helm package ./chart,packages Helm chart directory into versioned archive,1
helm push chart-1.0.0.tgz oci://registry.example.com/charts,pushes Helm chart to OCI-compatible registry,1
helm test myapp,runs test hooks defined in a deployed Helm chart,1
helm install myapp ./chart,deploys a Helm chart to Kubernetes cluster,2
helm upgrade myapp ./chart,upgrades an existing Helm release with new chart version,2
helm upgrade --install myapp ./chart --atomic,upgrades or installs chart rolling back on failure,2
helm uninstall myapp,removes a deployed Helm release and Kubernetes resources,2
helm rollback myapp 1,rolls back a Helm release to previous revision,2
psql -U postgres -c "SELECT version();",returns PostgreSQL server version,0
psql -U postgres -c "\l",lists all databases on the PostgreSQL server,0
psql -U postgres -c "\dt",lists all tables in current database,0
mysql -u root -p -e "SHOW DATABASES;",lists all databases on MySQL server,0
mysql -u root -p -e "SHOW PROCESSLIST;",shows all active MySQL connections,0
sqlite3 app.db ".tables",lists all tables in a SQLite database,0
redis-cli INFO server,shows Redis server information and statistics,0
redis-cli KEYS *,lists all keys in current Redis database — avoid on prod,0
redis-cli DBSIZE,returns the number of keys in current Redis database,0
mongodump --uri="mongodb://localhost/mydb" --out=/backup,creates a full binary dump of a MongoDB database,1
pg_dump -U postgres mydb > backup.sql,exports entire PostgreSQL database to SQL backup file,1
mysqldump -u root -p mydb > backup.sql,dumps a MySQL database to SQL file for backup,1
sqlite3 app.db ".dump" > backup.sql,exports full SQLite database to SQL backup file,1
sqlite3 app.db "VACUUM;",rebuilds SQLite database file reclaiming unused space,1
psql -U postgres -c "CREATE DATABASE mydb;",creates a new PostgreSQL database,1
psql -U postgres -c "CREATE USER devuser WITH PASSWORD 'pass';",creates a new PostgreSQL user with password,1
psql -U postgres -c "GRANT ALL PRIVILEGES ON DATABASE mydb TO devuser;",grants full access privileges to a user on a database,1
mysql -u root -p -e "FLUSH PRIVILEGES;",reloads MySQL privilege tables applying manual changes,1
redis-cli CONFIG SET maxmemory 512mb,changes the Redis memory limit,1
redis-cli SAVE,forces synchronous RDB snapshot of Redis dataset to disk,1
mongo --eval "db.collection.createIndex({email:1},{unique:true})" mydb,creates a unique index on a MongoDB collection,1
mongo --eval "db.collection.updateMany({},{'\$set':{active:true}})" mydb,updates all documents in a MongoDB collection,1
psql -U postgres -c "DROP DATABASE mydb;",permanently deletes a PostgreSQL database and all data,2
psql -U postgres -c "DROP ROLE devuser;",removes a PostgreSQL role revoking all privileges,2
psql -U postgres -c "TRUNCATE TABLE orders;",deletes all rows from a table without logging,2
psql -U postgres -c "DROP TABLE users;",permanently removes a table and all its data,2
psql -U postgres -c "REVOKE ALL ON DATABASE mydb FROM devuser;",revokes all privileges from a user on a database,2
pg_restore -U postgres -d mydb backup.dump,restores PostgreSQL database from dump overwriting data,2
mysql -u root -p -e "DROP DATABASE mydb;",permanently deletes a MySQL database and all tables,2
mysql -u root -p -e "DROP USER 'devuser'@'localhost';",removes a MySQL user and their privileges,2
mysql -u root -p mydb < backup.sql,restores MySQL database from SQL file overwriting data,2
mysql -u root -p -e "GRANT ALL PRIVILEGES ON *.* TO 'admin'@'%' WITH GRANT OPTION;",grants global superuser privileges to a MySQL user,2
mysql -u root -p -e "TRUNCATE TABLE sessions;",removes all rows from sessions table without logging,2
sqlite3 app.db "DROP TABLE logs;",permanently removes a table from SQLite database,2
sqlite3 app.db "DELETE FROM users WHERE id < 100;",deletes records from SQLite matching a condition,2
mongorestore --uri="mongodb://localhost/mydb" /backup/mydb,restores MongoDB database from binary dump,2
mongo --eval "db.dropDatabase()" mydb,permanently drops a MongoDB database and all collections,2
mongo --eval "db.users.drop()" mydb,drops a MongoDB collection and all its documents,2
mongo --eval "db.createUser({user:'admin',pwd:'pass',roles:['root']})" admin,creates a MongoDB admin user with root privileges,2
mongo --eval "db.users.deleteMany({})" mydb,deletes all documents in a MongoDB collection,2
redis-cli FLUSHALL,removes all keys from all Redis databases immediately,2
redis-cli FLUSHDB,clears all keys from the current Redis database,2
redis-cli SHUTDOWN NOSAVE,immediately shuts down Redis without saving dataset,2
redis-cli CONFIG SET requirepass newpassword,sets or changes the Redis authentication password,2
rabbitmqctl list_queues,lists all queues and message counts in RabbitMQ,0
kafka-topics.sh --list --bootstrap-server localhost:9092,lists all Kafka topics on the broker,0
kafka-consumer-groups.sh --describe --group my-group --bootstrap-server localhost:9092,shows lag and offset details for a consumer group,0
etcdctl get /config/app,retrieves a value from etcd,0
vault kv get secret/db_password,retrieves a secret value from HashiCorp Vault,0
vault status,displays initialization and seal status of Vault server,0
consul members,lists all members and status in Consul cluster,0
rabbitmqctl add_user myuser mypassword,creates a new RabbitMQ user,1
rabbitmqctl set_permissions -p / myuser ".*" ".*" ".*",grants full permissions to a RabbitMQ user,1
kafka-topics.sh --create --topic events --partitions 6 --replication-factor 3 --bootstrap-server localhost:9092,creates a Kafka topic with partition and replication settings,1
kafka-configs.sh --alter --entity-type topics --entity-name my-topic --add-config retention.ms=3600000,modifies retention settings on a Kafka topic,1
etcdctl put /config/app/version 2.0,writes a configuration value to etcd,1
vault kv put secret/app/config db_password=secret,stores a key-value secret in HashiCorp Vault,1
vault auth enable ldap,enables LDAP authentication on Vault server,1
vault policy write app-policy policy.hcl,creates or updates a Vault policy governing secret access,1
vault token create -policy=read-only,generates a new Vault token with specified policy,1
consul kv put config/app/db_url "postgres://...",writes a configuration value to Consul key-value store,1
consul services register service.json,registers a service definition with Consul agent,1
rabbitmq-server stop,stops the RabbitMQ message broker server,2
rabbitmqctl stop_app,stops the RabbitMQ application keeping runtime active,2
rabbitmqctl delete_queue my_queue,permanently deletes a RabbitMQ queue and all messages,2
rabbitmqctl set_user_tags myuser administrator,grants administrator permissions to a RabbitMQ user,2
rabbitmqctl purge_queue my_queue,deletes all pending messages from a queue,2
kafka-topics.sh --delete --topic my-topic --bootstrap-server localhost:9092,permanently deletes a Kafka topic and all message data,2
kafka-consumer-groups.sh --reset-offsets --to-earliest --group my-group --all-topics --execute --bootstrap-server localhost:9092,resets consumer group offsets causing message reprocessing,2
etcdctl del /config/app,deletes a key from the etcd key-value store,2
vault operator seal,seals the Vault server making all secrets inaccessible,2
vault secrets disable secret/,disables an entire Vault secrets engine removing all data,2
vault lease revoke -prefix aws/creds/,revokes all dynamic credentials from AWS secrets engine,2
vault kv delete secret/db_password,deletes a secret from HashiCorp Vault,2
consul kv delete config/app/db_url,permanently deletes a key from Consul key-value store,2
consul leave,gracefully removes current node from Consul cluster,2
ssh -T git@github.com,tests SSH connectivity to GitHub,0
ssh-agent bash,starts SSH agent in new shell for key management,0
ssh user@prod-server,opens an SSH session to a remote server,1
ssh -i key.pem ec2-user@1.2.3.4,opens SSH session using private key,1
ssh -L 5432:localhost:5432 user@bastion,creates SSH tunnel for local port forwarding,1
ssh-keygen -t ed25519 -C "deploy@company.com",generates a new ED25519 SSH key pair,1
ssh-keygen -f ~/.ssh/id_rsa -N "",generates an RSA SSH key with no passphrase,1
ssh-copy-id user@remote-server,copies local public SSH key to remote authorized keys,1
scp -r ./build user@server:/var/www/html,securely copies a directory to a remote server,1
rsync -avz ./src/ user@server:/app/src/,syncs local directory to remote server,1
rsync -avz --delete ./src/ user@server:/app/src/,syncs to remote deleting files not in source,2
ssh user@prod-server "sudo shutdown -h now",remotely shuts down a production server via SSH,2
ssh -i key.pem ec2-user@1.2.3.4 "sudo rm -rf /var/log/*",remotely deletes all logs on a remote server,2
openssl s_client -connect example.com:443,establishes TLS connection to inspect server certificate,0
openssl verify -CAfile ca.crt cert.crt,validates a certificate against a CA bundle,0
openssl dgst -sha256 file.tar.gz,computes SHA256 checksum of a file,0
openssl genrsa -out private.key 4096,generates a 4096-bit RSA private key,1
openssl req -new -key private.key -out request.csr,creates a certificate signing request,1
openssl x509 -req -in request.csr -signkey private.key -out cert.crt,self-signs a certificate using private key,1
certbot certonly --standalone -d example.com,obtains an SSL certificate for a domain,1
certbot renew --force-renewal,forces renewal of all installed SSL certificates,1
certbot delete --cert-name example.com,removes a certificate from the local store,2
sudo useradd -m -s /bin/bash newuser,creates a new user account with home directory,1
sudo groupadd devteam,creates a new system group,1
sudo chmod 600 /etc/ssh/sshd_config,restricts SSH config file access to root only,1
sudo chown -R www-data:www-data /var/www,changes ownership of web directory to web server user,1
sudo chown root:root /etc/passwd,restores correct ownership of system password file,1
sudo mount /dev/sdb1 /mnt/data,mounts a disk partition to the filesystem,1
sudo umount /mnt/data,unmounts a filesystem,1
sudo apt install nginx,installs the nginx web server,1
sudo apt autoremove,removes unused dependency packages,1
sudo dpkg -i package.deb,installs a Debian package bypassing apt,1
sudo snap install code --classic,installs VS Code via snap,1
sudo systemctl start nginx,starts a systemd service,1
sudo systemctl stop nginx,stops a running systemd service,1
sudo systemctl restart postgresql,restarts a service applying configuration changes,1
sudo systemctl reload nginx,reloads service config without dropping connections,1
sudo systemctl enable nginx,enables a service to start on boot,1
sudo systemctl daemon-reload,reloads systemd configuration for new unit files,1
sudo ufw enable,activates the uncomplicated firewall,1
sudo ufw allow 22/tcp,opens port 22 for SSH in the firewall,1
sudo ufw deny 3306,blocks all traffic to MySQL port in the firewall,1
sudo sshd -t,tests SSH daemon configuration for syntax errors,1
sudo add-apt-repository ppa:deadsnakes/ppa,adds a third-party PPA to apt sources,1
sudo apt-get install --only-upgrade openssl,upgrades only openssl to patch a vulnerability,1
sudo auditctl -e 1,enables the Linux audit daemon,1
sudo auditctl -w /etc/passwd -p wa,adds audit watch rule on passwd file,1
sudo fail2ban-client set sshd unbanip 1.2.3.4,manually unbans an IP from fail2ban SSH jail,1
sudo sysctl -w vm.swappiness=10,adjusts kernel swap usage aggressiveness,1
sudo sysctl -w net.ipv4.ip_forward=1,enables IP forwarding for routing traffic,1
sudo setenforce 1,sets SELinux back to enforcing mode,1
sudo auditctl -w /etc/passwd -p wa,adds audit watch rule on sensitive system file,1
sudo iptables -A INPUT -p tcp --dport 8080 -j ACCEPT,adds firewall rule allowing traffic on port 8080,1
sudo ip link set eth0 up,enables a network interface restoring connectivity,1
sudo cron -l,lists all cron jobs for root user,0
sudo lsof -i :80,shows processes using port 80,0
sudo netstat -tulnp,shows all active TCP/UDP listeners with process names,0
sudo dmesg | tail -50,shows last 50 kernel ring buffer messages,0
sudo lvm lvdisplay,displays all logical volumes in LVM,0
sudo vgdisplay,shows volume group details in LVM,0
sudo pvdisplay,displays physical volume attributes in LVM,0
sudo ausearch -m avc -ts recent,searches audit logs for recent SELinux denials,0
sudo aureport --summary,generates summary report of system audit log,0
sudo fail2ban-client status,shows status of all fail2ban jails,0
sudo ss -tulnp,shows socket statistics and listening ports,0
sudo rm -rf /var/log/*,permanently deletes all log files from system log directory,2
sudo rm -rf /tmp/*,removes all files from the temporary directory,2
sudo dd if=/dev/zero of=/dev/sdb,overwrites a disk device with zeros wiping all data,2
sudo mkfs.ext4 /dev/sdb1,formats a disk partition destroying all existing data,2
sudo fdisk /dev/sda,launches interactive disk partitioning tool,2
sudo passwd root,changes the root account password,2
sudo visudo,opens the sudoers configuration file,2
sudo systemctl disable firewalld,disables the firewall service from starting on boot,2
sudo iptables -F,flushes all firewall rules removing all traffic filtering,2
sudo crontab -e,edits the root cron table,2
sudo userdel -r olduser,removes a user account and home directory,2
sudo usermod -aG sudo username,adds a user to the sudo group granting admin privileges,2
sudo groupdel devteam,deletes a system group,2
sudo chmod 777 /var/www/html,grants full permissions to all users on a directory — insecure,2
sudo apt remove --purge nginx,removes nginx and all configuration files,2
sudo apt full-upgrade,upgrades all packages resolving dependency changes,2
sudo apt-get dist-upgrade,performs full distribution upgrade potentially installing new kernel,2
sudo snap remove code,removes a snap-installed application and its data,2
sudo systemctl disable ssh,disables SSH service from starting on boot,2
sudo systemctl mask nginx,completely disables a service preventing any start,2
sudo journalctl --vacuum-time=7d,deletes journal logs older than 7 days,2
sudo ufw disable,disables the firewall removing all traffic filtering,2
sudo ufw delete allow 80,removes the firewall rule allowing traffic on port 80,2
sudo ssh-keygen -f /etc/ssh/ssh_host_rsa_key,regenerates SSH host RSA key changing server identity,2
sudo kill -9 $(pidof apache2),force-kills all Apache processes immediately,2
sudo killall nginx,terminates all nginx processes on the system,2
sudo reboot,immediately reboots the system,2
sudo shutdown -h now,immediately halts and powers off the system,2
sudo halt,stops all processes and halts the CPU,2
sudo lvextend -L +10G /dev/vg0/lv0,extends a logical volume by 10GB,2
sudo vgextend vg0 /dev/sdc,adds a physical volume to a volume group,2
sudo pvremove /dev/sdb,removes a physical volume from LVM management,2
sudo e2fsck -f /dev/sdb1,runs filesystem check on a partition,2
sudo resize2fs /dev/sdb1,resizes an ext4 filesystem to use available space,2
sudo setenforce 0,sets SELinux to permissive mode disabling enforcement,2
sudo iptables -P INPUT DROP,sets default firewall policy to drop all incoming traffic,2
sudo iptables -D INPUT -p tcp --dport 8080 -j ACCEPT,removes a firewall rule,2
sudo ip link set eth0 down,disables a network interface disrupting connectivity,2
sudo fail2ban-client set sshd banip 1.2.3.4,manually bans an IP in fail2ban SSH jail,2
sudo fail2ban-client stop,stops the fail2ban service,2
sudo apt-key del KEYID,removes a GPG key from the apt keyring,2
sudo rpm -e package,removes an installed RPM package,2
sudo yum remove httpd,removes the Apache HTTP server,2
sudo snap remove code,removes a snap application and its data,2
sudo pacman -Rns package,removes an Arch package with unused dependencies,2
brew install postgresql,installs PostgreSQL via Homebrew,1
brew upgrade,upgrades all installed Homebrew packages,1
brew tap homebrew/cask,adds the Homebrew Cask tap,1
brew install --cask docker,installs Docker Desktop via Homebrew Cask,1
brew services start postgresql,starts PostgreSQL as macOS background service,1
brew services stop postgresql,stops PostgreSQL Homebrew background service,1
brew cleanup,removes outdated versions of Homebrew packages,1
brew uninstall postgresql,removes PostgreSQL installed via Homebrew,2
pytest --cov=app tests/,runs tests and generates code coverage report,0
pytest -x tests/,runs tests and stops at first failure,0
pytest -v,runs tests with verbose output,0
coverage run -m pytest,runs tests under coverage measurement tool,0
coverage report,displays summary of test code coverage,0
jest --coverage,runs Jest tests and generates coverage report,0
jest --watchAll,runs Jest tests in watch mode re-running on file changes,0
mocha test/,runs Mocha tests from the test directory,0
go test ./...,runs all tests in all Go packages,0
cargo test,compiles and runs all Rust tests,0
mvn test,runs all Java unit tests,0
gradle test,executes all Gradle tests,0
dotnet test,executes unit tests in .NET project,0
k6 run script.js,executes a k6 load test script,1
ab -n 1000 -c 50 https://example.com/,runs 1000 Apache Bench requests with 50 concurrent,1
locust -f locustfile.py --headless -u 100,runs headless Locust load test simulating 100 users,1
artillery run load-test.yml,executes load test scenario defined in Artillery config,1
cypress run,executes Cypress end-to-end tests in headless mode,1
sonar-scanner,runs SonarQube code quality and security analysis,0
hadolint Dockerfile,lints Dockerfile for best practices,0
shellcheck script.sh,analyzes shell script for bugs and style issues,0
eslint src/,runs ESLint across JavaScript files,0
prettier --write .,reformats all files to match Prettier code style,1
trivy image myapp:latest,scans container image for known vulnerabilities,0
snyk test,tests project dependencies for known vulnerabilities,0
bandit -r ./app,scans Python source code for security vulnerabilities,0
semgrep --config=auto .,runs Semgrep static analysis with auto-detected rules,0
checkov -d .,scans IaC files for security misconfigurations,0
tflint,runs TFLint to detect Terraform configuration issues,0
gh repo clone owner/repo,clones a GitHub repository using GitHub CLI,1
gh pr create --title "Fix bug" --body "Details",creates a pull request on GitHub,1
gh pr close 42,closes a pull request without merging it,1
gh issue create --title "Bug" --body "Description",creates a new GitHub issue,1
gh release create v1.0 --generate-notes,creates a new GitHub release with auto-generated notes,1
gh workflow run ci.yml,manually triggers a GitHub Actions workflow run,1
gh repo fork owner/repo,forks a GitHub repository into your account,1
gh org list,lists all GitHub organizations you belong to,0
gh run list --workflow ci.yml,lists recent runs of a GitHub Actions workflow,0
gh pr list --state open,lists all open pull requests,0
gh release list,lists all releases in current repository,0
gh pr merge 42 --squash,merges a pull request using squash merge,2
gh secret set DB_PASSWORD,sets a repository secret in GitHub Actions,2
gh secret delete DB_PASSWORD,deletes a repository secret from GitHub Actions,2
gh repo delete owner/repo --confirm,permanently deletes a GitHub repository,2
gh api repos/:owner/:repo/actions/runs --method DELETE,deletes all workflow run history,2
gh release delete v1.0 --yes,permanently deletes a GitHub release and tag,2
gh repo archive owner/repo,archives a repository making it read-only,2
gh team remove-member myorg myteam username,removes a user from a GitHub team,2
vagrant up,starts and provisions the development VM,1
vagrant halt,gracefully shuts down the Vagrant VM,1
vagrant reload --provision,restarts VM and re-runs provisioner scripts,1
vagrant snapshot save baseline,saves a snapshot of current VM state,1
vagrant ssh,opens SSH connection to the Vagrant machine,0
vagrant destroy -f,forcefully destroys the Vagrant VM and all resources,2
vagrant snapshot restore baseline,restores VM to a previously saved snapshot,2
pulumi up,deploys infrastructure changes defined in Pulumi code,2
pulumi destroy,tears down all Pulumi-managed cloud infrastructure,2
pulumi stack rm production,removes a Pulumi stack and its state,2
pulumi config set DB_PASSWORD --secret,stores an encrypted secret in Pulumi stack config,1
pulumi stack ls,lists all Pulumi stacks in current project,0
cdk deploy,synthesizes and deploys CDK stacks to AWS,2
cdk destroy,destroys all AWS resources created by the CDK stack,2
cdk diff,shows differences between current stack and deployed infrastructure,0
cdk synth,synthesizes CDK app to CloudFormation templates without deploying,0
serverless deploy,packages and deploys serverless functions to cloud provider,2
serverless remove,removes all deployed serverless resources,2
serverless invoke -f myFunction,invokes a deployed serverless function,1
argocd app sync myapp,triggers sync reconciling ArgoCD application with GitOps source,2
argocd app delete myapp --cascade,deletes ArgoCD application and all Kubernetes resources,2
argocd app rollback myapp 5,rolls back ArgoCD application to previous revision,2
argocd app set myapp --sync-policy automated,enables automated sync on ArgoCD application,1
argocd app get myapp,shows current status and health of ArgoCD application,0
argocd app list,lists all applications managed by ArgoCD,0
argocd repo add https://github.com/org/repo,adds a Git repository to ArgoCD for GitOps management,1
argocd cluster add prod-context,registers a Kubernetes cluster with ArgoCD,2
flux reconcile source git flux-system,forces immediate reconciliation of Flux GitOps source,1
flux suspend kustomization myapp,pauses automated reconciliation for a Flux kustomization,1
flux resume kustomization myapp,re-enables reconciliation for suspended Flux kustomization,1
flux delete kustomization myapp,removes a kustomization from Flux management,2
flux get kustomizations,lists all Flux kustomizations and reconciliation status,0
flux logs,displays logs from Flux controllers,0
nmap -Pn -p 22,80,443 10.0.0.1,scans specific ports on a host,1
tcpdump -i eth0 -w capture.pcap,captures network packets and writes to file,1
nmap -sS -p 1-65535 192.168.1.0/24,performs full TCP SYN scan across all ports on subnet,2
nmap -sV --script vuln 10.0.0.1,runs vulnerability detection scripts against a host,2
strace -p 1234,attaches to a running process and traces system calls,1
gdb ./app core,loads core dump into GDB for post-mortem debugging,1
valgrind --leak-check=full ./app,runs binary under Valgrind detecting memory leaks,1
perf stat ./app,collects CPU performance counter statistics,1
perf record -g ./app,records a performance profile with call graph data,1
gcc -o app app.c -lm,compiles a C source file into executable binary,1
g++ -o app app.cpp -std=c++17,compiles a C++ source file using C++17 standard,1
clang -o app app.c -O2,compiles C code using Clang with optimization,1
cmake .. -DCMAKE_BUILD_TYPE=Release,configures a CMake build in release mode,1
meson setup builddir,configures a Meson build system project,1
bazel build //...,builds all targets in the Bazel workspace,1
msbuild /t:Rebuild /p:Configuration=Release,rebuilds .NET solution in Release mode,1
xcodebuild -scheme MyApp -configuration Release archive,archives Xcode project for release distribution,1
adb install app.apk,installs an APK onto connected Android device,1
adb shell am force-stop com.example.app,force-stops an app on Android device,1
xcrun simctl boot "iPhone 15",boots a named iOS simulator,1
xcrun simctl install booted app.app,installs app on booted iOS simulator,1
dotnet restore,restores all NuGet dependencies for .NET project,1
dotnet build,compiles the .NET application and dependencies,1
dotnet publish -c Release -o ./publish,builds and publishes .NET app for deployment,1
dotnet ef migrations add InitialCreate,creates a new Entity Framework migration,1
dotnet tool install -g dotnet-ef,installs EF Core CLI tool globally,1
cmake --build . --target install,builds and installs CMake project to the system,2
ninja -C builddir install,builds and installs project using Ninja,2
adb uninstall com.example.app,removes an app from connected Android device,2
adb reboot,reboots the connected Android device,2
adb root,restarts ADB daemon with root permissions,2
xcrun simctl delete all,deletes all iOS simulators freeing disk space,2
dotnet ef database update,applies all pending EF Core migrations to database,2
dotnet ef database drop --force,drops database managed by EF Core without confirmation,2
dotnet nuget push *.nupkg --source https://api.nuget.org/v3/index.json,publishes NuGet package to public registry,2
bundle install,installs all Ruby gems from Gemfile,1
bundle update,updates gems to latest versions allowed by Gemfile,2
bundle exec rake db:migrate,runs pending ActiveRecord database migrations,2
bundle exec rake db:drop,drops the Rails database,2
bundle exec rake db:seed,populates Rails database with seed data,1
bundle exec rails server,starts the Rails web application server,1
php artisan migrate,runs all pending Laravel database migrations,2
php artisan migrate:rollback,reverts the last batch of Laravel migrations,2
php artisan db:seed,seeds the Laravel database with fixtures,1
php artisan cache:clear,clears the Laravel application cache,1
php artisan queue:work,starts processing jobs from the Laravel queue,1
php artisan config:cache,caches Laravel configuration for faster bootstrapping,1
php artisan optimize:clear,clears all Laravel cached files,1
composer install,installs PHP dependencies from composer.lock,1
composer require guzzlehttp/guzzle,adds Guzzle HTTP client as PHP dependency,1
composer update,updates all PHP packages to latest allowed versions,2
composer remove phpunit/phpunit,removes PHPUnit from project dependencies,2
composer dump-autoload,regenerates Composer autoload files,1
flutter pub get,downloads all Flutter package dependencies,1
flutter build apk --release,compiles release APK for Android distribution,1
flutter build ios --release,builds Flutter app for iOS release,1
flutter run,launches Flutter app on connected device,1
flutter clean,removes Flutter build cache and generated files,1
flutter pub upgrade,upgrades all Flutter packages to latest compatible versions,2
dart pub publish,publishes a Dart package to pub.dev,2
pyinstaller --onefile app.py,bundles Python application into single standalone executable,1
cython app.pyx,compiles a Cython file to C source code,1
wasm-pack build --target web,compiles Rust project to WebAssembly for web deployment,1
wasm-pack publish,publishes compiled WebAssembly package to npm,2
istioctl install --set profile=production,installs Istio service mesh with production profile,2
istioctl uninstall --purge,completely removes Istio from cluster including all CRDs,2
istioctl analyze,runs Istio configuration analysis to detect issues,0
kustomize build overlays/production | kubectl apply -f -,renders Kustomize overlays and applies to cluster,2
kustomize edit set image myapp=myapp:v2,updates container image reference in kustomization.yaml,1
velero backup create daily-backup --include-namespaces production,creates Velero backup of a Kubernetes namespace,1
velero restore create --from-backup daily-backup,restores Kubernetes namespace from Velero backup,2
velero backup delete daily-backup,deletes a Velero backup and associated storage data,2
skaffold run,builds container images and deploys to cluster,2
skaffold delete,removes all Kubernetes resources deployed by Skaffold,2
skaffold dev,runs development loop rebuilding and redeploying on changes,1
skaffold build,builds container images without deploying,1
cosign sign myimage:latest,cryptographically signs a container image,2
cosign verify myimage:latest,verifies cryptographic signature of a container image,0
kube-bench run --targets node,runs CIS Kubernetes benchmark checks against a node,0
kubescape scan framework NSA,scans cluster against NSA Kubernetes hardening framework,0
kubectl debug node/node-1 -it --image=ubuntu,creates debug pod on a node for live troubleshooting,1
kubectl debug pod/app-xyz -it --copy-to=debug-pod,creates debugging copy of a pod,1
minikube start --cpus=4 --memory=8192,starts local minikube Kubernetes cluster with resources,1
minikube stop,stops the running minikube cluster,1
minikube addons enable ingress,enables NGINX ingress controller in minikube,1
minikube image load myapp:latest,loads local Docker image into minikube cluster,1
minikube delete,deletes minikube cluster and all associated data,2
kind create cluster --name dev,creates local Kubernetes cluster using Docker,1
kind delete cluster --name dev,deletes local KinD Kubernetes development cluster,2
k3d cluster create dev,creates lightweight k3s Kubernetes cluster inside Docker,1
k3d cluster delete dev,deletes a k3d development Kubernetes cluster,2
vcluster create dev --namespace dev,creates a virtual Kubernetes cluster inside a real cluster,2
vcluster delete dev --namespace dev,deletes a virtual cluster and all its resources,2
packer build template.json,builds a machine image from a Packer template,2
packer validate template.json,validates a Packer template for errors,0
nomad job run app.nomad,submits and runs a Nomad job on the cluster,2
nomad job stop app,stops a running Nomad job removing all allocations,2
nomad job plan app.nomad,shows diff of changes a Nomad job run would make,0
claude --version,shows the installed Claude Code CLI version,0
claude --help,shows Claude Code CLI usage and available flags,0
claude config list,lists current Claude Code configuration values,0
claude mcp list,lists configured MCP servers for Claude Code,0
claude,starts an interactive Claude Code session in the current directory,1
claude -p "explain this function",runs a one-off prompt against Claude Code without entering interactive mode,1
claude --continue,resumes the most recent Claude Code conversation,1
claude --resume,lets you pick a previous Claude Code session to resume,1
claude config set,modifies a Claude Code configuration value,1
claude mcp add,adds a new MCP server connection to Claude Code,1
claude mcp remove,removes an MCP server connection from Claude Code,1
claude update,updates the Claude Code CLI to the latest version,1
gh copilot suggest "explain this regex",asks GitHub Copilot CLI to suggest a command or explanation,0
gh copilot explain "find . -name '*.log' -delete",asks GitHub Copilot CLI to explain what a command does,0
copilot --version,shows the installed GitHub Copilot CLI version,0
cursor --version,shows the installed Cursor editor CLI version,0
cursor .,opens the current directory in the Cursor AI editor,1
aider --version,shows the installed Aider AI pair programming tool version,0
aider,starts an interactive Aider AI coding session in current repo,1
aider --model gpt-4,starts Aider using a specified LLM backend,1
aider --commit,asks Aider to generate and create a git commit from changes,1
ollama list,lists locally downloaded Ollama models,0
ollama ps,shows currently running Ollama model processes,0
ollama show llama3,shows details and parameters for a local Ollama model,0
ollama run llama3,starts an interactive chat session with a local LLM via Ollama,1
ollama pull llama3,downloads a model to run locally via Ollama,1
ollama pull codellama:13b,downloads a specific code-focused local model,1
ollama create mymodel -f Modelfile,builds a custom Ollama model from a Modelfile,1
ollama rm llama3,deletes a locally downloaded Ollama model freeing disk space,2
ollama stop llama3,stops a running Ollama model process,1
openai api models.list,lists available OpenAI models accessible with your API key,0
openai api chat.completions.create -m gpt-4 -g user "hello",sends a one-off chat completion request to the OpenAI API,1
llm models,lists available models configured for the llm CLI tool,0
llm "summarize this file" < notes.txt,pipes file content into a prompt using the llm CLI tool,1
llm keys set openai,stores an API key for a provider in the llm CLI tool,1
chatgpt --version,shows the installed unofficial ChatGPT CLI version,0
sgpt "explain this error",sends a one-off prompt to a GPT-backed shell assistant,1
sgpt --code "python function to reverse a string",asks a GPT shell assistant to generate code directly,1
huggingface-cli login,authenticates the Hugging Face CLI with an access token,1
huggingface-cli download meta-llama/Llama-3-8B,downloads a model from the Hugging Face Hub,1
huggingface-cli whoami,shows the currently authenticated Hugging Face account,0
huggingface-cli scan-cache,lists locally cached Hugging Face models and their disk usage,0
huggingface-cli delete-cache,removes cached Hugging Face models freeing disk space,2
transformers-cli env,prints environment info for debugging transformers installs,0
litellm --model gpt-4,starts a LiteLLM proxy server routing requests to a specified model,1
vllm serve meta-llama/Llama-3-8B,starts a vLLM inference server for a hosted model,2
